"SUID","KEGG_ID","KEGG_LINK","KEGG_NODE_FILL_COLOR","KEGG_NODE_HEIGHT","KEGG_NODE_LABEL","KEGG_NODE_LABEL_COLOR","KEGG_NODE_LABEL_LIST","KEGG_NODE_LABEL_LIST_FIRST","KEGG_NODE_REACTIONID","KEGG_NODE_SHAPE","KEGG_NODE_TYPE","KEGG_NODE_WIDTH","KEGG_NODE_X","KEGG_NODE_Y","name","selected","shared name"
"341","ko:K00169|ko:K00170|ko:K00172|ko:K00171|ko:K03737","https://www.kegg.jp/dbget-bin/www_bget?K00169+K00170+K00172+K00171+K03737","#FFFFFF","17","K00169...","#000000","K00169...","K00169...","rn:R01196","rectangle","ortholog","46","284","789","path:sce00010:133","false","path:sce00010:133"
"342","cpd:C01159","https://www.kegg.jp/dbget-bin/www_bget?C01159","#FFFFFF","8","C01159","#000000","C01159","DPG",,"circle","compound","8","568","556","path:sce00010:134","false","path:sce00010:134"
"343","ko:K01837","https://www.kegg.jp/dbget-bin/www_bget?K01837","#FFFFFF","17","K01837","#000000","K01837","K01837","rn:R01516","rectangle","ortholog","46","531","593","path:sce00010:137","false","path:sce00010:137"
"344","ko:K01837","https://www.kegg.jp/dbget-bin/www_bget?K01837","#FFFFFF","17","K01837","#000000","K01837","K01837","rn:R01662","rectangle","ortholog","46","531","521","path:sce00010:138","false","path:sce00010:138"
"345","cpd:C00118","https://www.kegg.jp/dbget-bin/www_bget?C00118","#FFFFFF","8","C00118","#000000","C00118","Glyceraldehyde 3-phosphate",,"circle","compound","8","483","448","path:sce00010:139","false","path:sce00010:139"
"346","sce:YAL054C|sce:YLR153C","https://www.kegg.jp/dbget-bin/www_bget?sce:YAL054C+sce:YLR153C","#BFFFBF","17","ACS1, FUN44...","#000000","ACS1|FUN44...","ACS1","rn:R00235","rectangle","gene","46","96","916","path:sce00010:140","false","path:sce00010:140"
"347","ko:K00918","https://www.kegg.jp/dbget-bin/www_bget?K00918","#FFFFFF","17","K00918","#000000","K00918","K00918","rn:R09084","rectangle","ortholog","46","508","336","path:sce00010:142","false","path:sce00010:142"
"348","ko:K08074|ko:K00918","https://www.kegg.jp/dbget-bin/www_bget?K08074+K00918","#FFFFFF","17","K08074...","#000000","K08074...","K08074...","rn:R09085","rectangle","ortholog","46","281","239","path:sce00010:143","false","path:sce00010:143"
"349","ko:K08074|ko:K00918","https://www.kegg.jp/dbget-bin/www_bget?K08074+K00918","#FFFFFF","17","K08074...","#000000","K08074...","K08074...","rn:R09086","rectangle","ortholog","46","281","312","path:sce00010:144","false","path:sce00010:144"
"350","ko:K00114","https://www.kegg.jp/dbget-bin/www_bget?K00114","#FFFFFF","17","K00114","#000000","K00114","K00114","rn:R05198","rectangle","ortholog","46","439","979","path:sce00010:145","false","path:sce00010:145"
"351","cpd:C00068","https://www.kegg.jp/dbget-bin/www_bget?C00068","#FFFFFF","8","C00068","#000000","C00068","TPP",,"circle","compound","8","378","825","path:sce00010:146","false","path:sce00010:146"
"352","ko:K15633|ko:K15634|ko:K15635","https://www.kegg.jp/dbget-bin/www_bget?K15633+K15634+K15635","#FFFFFF","17","K15633...","#000000","K15633...","K15633...","rn:R01518","rectangle","ortholog","46","508","630","path:sce00010:147","false","path:sce00010:147"
"353","ko:K00138","https://www.kegg.jp/dbget-bin/www_bget?K00138","#FFFFFF","17","K00138","#000000","K00138","K00138","rn:R00711","rectangle","ortholog","46","307","969","path:sce00010:148","false","path:sce00010:148"
"354","ko:K03103","https://www.kegg.jp/dbget-bin/www_bget?K03103","#FFFFFF","17","K03103","#000000","K03103","K03103","rn:R09532","rectangle","ortholog","46","571","630","path:sce00010:150","false","path:sce00010:150"
"355","path:map00710","https://www.kegg.jp/dbget-bin/www_bget?map00710","#89b9cE","34","Carbon fixation in photosynthetic organisms","#000000","Carbon fixation in photosynthetic organisms","Carbon fixation in photosynthetic organisms",,"roundrectangle","map","153","254","596","path:sce00010:151","false","path:sce00010:151"
"356","ko:K18978","https://www.kegg.jp/dbget-bin/www_bget?K18978","#FFFFFF","17","K18978","#000000","K18978","K18978","rn:R01058 rn:R10860","rectangle","ortholog","46","416","540","path:sce00010:152","false","path:sce00010:152"
"357","ko:K00174|ko:K00175","https://www.kegg.jp/dbget-bin/www_bget?K00174+K00175","#FFFFFF","17","K00174...","#000000","K00174...","K00174...","rn:R01196","rectangle","ortholog","46","284","810","path:sce00010:154","false","path:sce00010:154"
"358","ko:K00895|ko:K21071","https://www.kegg.jp/dbget-bin/www_bget?K00895+K21071","#FFFFFF","17","K00895...","#000000","K00895...","K00895...","rn:R02073","rectangle","ortholog","46","558","336","path:sce00010:156","false","path:sce00010:156"
"359","ko:K22473|ko:K22474","https://www.kegg.jp/dbget-bin/www_bget?K22473+K22474","#FFFFFF","17","K22473...","#000000","K22473...","K22473...","rn:R09479","rectangle","ortholog","46","487","928","path:sce00010:157","false","path:sce00010:157"
